;Fonte;Site;EAN;Descrição do Produto;Data e hora da coleta;Estado;Concorrente;Estoque;Quantidade de estoque;Quantidade por pacote;Preço Fábrica;Desconto;ST;Preço Final
9005;Python;NAZARIA;'41554270150;TINT COLOR TATTOO BOLD GOLD;2025-05-08 21:02:08;RN;NAZARIA;0;0;12;23,08;0,0;0,0;23,08
9006;Python;NAZARIA;'3014260807078;ESC DENT ORAL-B 123 CARTELA C/6UN;2025-05-08 21:02:08;RN;NAZARIA;0;0;6;18,51;0,0;0,0;18,51
9007;Python;NAZARIA;'7896014140442;TINT IMED EXC 3 CASTANHO ESCURO;2025-05-08 21:02:08;RN;NAZARIA;1;48;12;23,98;0,0;0,0;23,98
9008;Python;NAZARIA;'7897473207479;AP INAL NEBZMART NEBULIZADOR 1UN;2025-05-08 21:02:08;RN;NAZARIA;1;1;20;301,43;0,0;0,0;301,43
9009;Python;NAZARIA;'6001159111771;OLEO HIDRAT CORPORAL BIO-OIL 125ML;2025-05-08 21:02:08;RN;NAZARIA;0;0;2;39,77;0,0;0,0;39,77
9010;Python;NAZARIA;'7896061990816;FRALDA BABYSEC PANTS XG/XXG 6X16;2025-05-08 21:02:08;RN;NAZARIA;0;0;6;27,53;0,0;0,0;27,53
9011;Python;NAZARIA;'7898927563295;DEFORCE 7.000 UI 8CAP;2025-05-08 21:02:08;RN;NAZARIA;0;0;45;22,27;0,05;0,0;21,16
9012;Python;NAZARIA;'7897460401347;GABALLON 2BL 10CPR;2025-05-08 21:02:08;RN;NAZARIA;0;0;120;37,08;0,11;0,0;33,0
9013;Python;NAZARIA;'7506339356939;ABS ALWAYS NOITE SECA 8UN;2025-05-08 21:02:08;RN;NAZARIA;0;0;12;10,3;0,0;0,0;10,3
9014;Python;NAZARIA;'7895858005962;INDOCID 50MG 30CAP;2025-05-08 21:02:08;RN;NAZARIA;0;0;54;41,35;0,04;0,0;39,7
9015;Python;NAZARIA;'7896018704008;LENCO UMED HUG SUPREME CARE L4P3 48UN;2025-05-08 21:02:08;RN;NAZARIA;1;92;6;38,12;0,09;0,0;34,69
9016;Python;NAZARIA;'7891150051928;CR PENT TRESEMME BAIXO POO 300ML;2025-05-08 21:02:08;RN;NAZARIA;0;0;12;7,3;0,0;0,0;7,3
9017;Python;NAZARIA;'7896004703565;DEXAMETASONA 0,5MG 120ML (E3S-G);2025-05-08 21:02:08;RN;NAZARIA;0;0;60;15,4;0,6416;0,0;5,52
9018;Python;NAZARIA;'7500435132541;FRALDAS PAMP PANTS CS GIGA MED 84UN;2025-05-08 21:02:08;RN;NAZARIA;0;0;2;82,01;0,0;0,0;82,01
9019;Python;NAZARIA;'7896013557623;COND NOVEX T ACIDA VINAGRE MACA 120ML;2025-05-08 21:02:08;RN;NAZARIA;0;0;6;16,31;0,0;0,0;16,31
9020;Python;NAZARIA;'3337875200295;HIDRAT CORP RG FLEUR DA'OSMANT 200ML;2025-05-08 21:02:08;RN;NAZARIA;0;0;36;37,46;0,0;0,0;37,46
9021;Python;NAZARIA;'7891058021535;BISOLVON GTS 50ML;2025-05-08 21:02:08;RN;NAZARIA;0;0;144;18,05;0,0;0,0;18,05
