Fonte;Site;EAN;Descrição do Produto;Data e hora da coleta;Estado;Concorrente;Estoque;Quantidade de estoque;Quantidade por pacote;Preço Fábrica;Desconto;ST;Preço Final
Python;SERVIMED;'7897322709536;ADDERA D3 50.000UI COM 10 COMPRIMIDOS;2025-01-03 16:00:08;PR;SERVIMED;1;22;24;226,98000000000002;0,0;20,87;228,51000000000002
Python;SERVIMED;'7891182020091;RETOQUE DA RAIZ KOLESTON CASTANHO CLARO 100ML;2025-01-03 16:00:08;PR;SERVIMED;1;208;6;24,00221729490022;0,0;6,0;30,0
Python;SERVIMED;'7896112400110;DOSS 7.000 UI 4 CAPS T;2025-01-03 16:00:08;PR;SERVIMED;1;391;48;15,120000000000001;0,05;1,54;14,68
Python;SERVIMED;'7891317192822;PARACETAMOL+CODEINA 500/30 MG 36 CP *G;2025-01-03 16:00:08;PR;SERVIMED;1;4;60;60,96;0,55;8,14;33,230000000000004
Python;SERVIMED;'7896006214441;SIMETICONA 125 MG 10 CAPS T;2025-01-03 16:00:08;PR;SERVIMED;1;18;198;15,0;0,02;0,5700000000000001;14,020000000000001
Python;SERVIMED;'7899095230255;BRIMONIDINA TART SOL OFT 2MG/ML 5ML G;2025-01-03 16:00:08;PR;SERVIMED;1;76;60;52,76;0,6607000000000001;8,39;24,77
Python;SERVIMED;'7896422520546;ZODEL 100MG 30 CP *S;2025-01-03 16:00:08;PR;SERVIMED;1;53;77;150,37;0,05;16,06;146,74
Python;SERVIMED;'7891010031350;COLONIA JOHNSON'S BABY LAVANDA 200ML;2025-01-03 16:00:08;PR;SERVIMED;0;0;12;24,05619440225645;0,0;6,42;30,480000000000004
Python;SERVIMED;'7897316805237;GANFORT SOL OFT 5 ML R;2025-01-03 16:00:08;PR;SERVIMED;0;0;100;199,71;0,07;22,31;192,22
Python;SERVIMED;'7895858015404;PRAKALMAR 20CP T;2025-01-03 16:00:08;PR;SERVIMED;0;0;24;41,94;0,03;6,09;43,31
Python;SERVIMED;'7898040323905;JUNNO 200MG 14CAPS S;2025-01-03 16:00:08;PR;SERVIMED;1;100;40;54,84;0,03;6,23;54,89
